Task,Algorithm,Feature,Mean_Importance,Std_Importance,Overall_Mean_Importance,Overall_Std_Importance
Regression,Random Forest Regressor,num_third_party_libs,0.02803932311796993,0.011239245875603016,0.023588670740481557,0.01219066837528961
Classification,Gradient Boosting,num_third_party_libs,0.013433002219603703,0.0043111038316234855,0.023588670740481557,0.01219066837528961
Regression,Gradient Boosting Regressor,num_third_party_libs,0.004157365222117691,0.0015833828964686,0.023588670740481557,0.01219066837528961
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window10,0.05646820245405507,0.0055613838174353725,0.01980780884490347,0.019939130881286602
Classification,Random Forest,hIndexModificationsPerCoveredLine_window10,0.02700045203478207,0.003856427094134852,0.01980780884490347,0.019939130881286602
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window10,0.024724975210292825,0.00855741914421035,0.01980780884490347,0.019939130881286602
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window10,0.00864872548044676,0.0010447966746457776,0.01980780884490347,0.019939130881286602
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window10,0.0019416014923576707,0.00043767225004186304,0.01980780884490347,0.019939130881286602
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window10,6.289639748641652e-05,0.0002555027448478635,0.01980780884490347,0.019939130881286602
Classification,Extra Trees,fire-and-forget,0.036702225442208476,0.0037847067932058245,0.016022815585949982,0.01607433929424568
Classification,Gradient Boosting,fire-and-forget,0.035160743898072284,0.008583159838270318,0.016022815585949982,0.01607433929424568
Classification,Random Forest,fire-and-forget,0.019722231752961734,0.0027745668172320923,0.016022815585949982,0.01607433929424568
Regression,Extra Trees Regressor,fire-and-forget,0.0039024721626119054,0.0004972939709193916,0.016022815585949982,0.01607433929424568
Regression,Random Forest Regressor,fire-and-forget,0.0006488290168461226,0.00018665219080936415,0.016022815585949982,0.01607433929424568
Regression,Gradient Boosting Regressor,fire-and-forget,3.91242999369751e-07,1.9166914277838605e-06,0.016022815585949982,0.01607433929424568
Classification,Extra Trees,indirect-testing,0.03862920968577737,0.00395910730576591,0.015118671318475376,0.012574782656954678
Regression,Random Forest Regressor,indirect-testing,0.01794957183180432,0.002910362204547816,0.015118671318475376,0.012574782656954678
Regression,Extra Trees Regressor,indirect-testing,0.016013025477980534,0.002764771027042454,0.015118671318475376,0.012574782656954678
Classification,Random Forest,indirect-testing,0.014172694419402916,0.0008358794645175929,0.015118671318475376,0.012574782656954678
Classification,Gradient Boosting,indirect-testing,0.002084001588893399,0.001492114152355759,0.015118671318475376,0.012574782656954678
Regression,Gradient Boosting Regressor,indirect-testing,0.0018635249069937198,0.0009358602535062674,0.015118671318475376,0.012574782656954678
Regression,Extra Trees Regressor,assertion-roulette,0.02753931325065002,0.0019820684465100347,0.012092213662971599,0.01101278808327346
Classification,Extra Trees,assertion-roulette,0.026453788447281603,0.002077756298375221,0.012092213662971599,0.01101278808327346
Classification,Random Forest,assertion-roulette,0.00888432496863782,0.0006183297007960356,0.012092213662971599,0.01101278808327346
Regression,Random Forest Regressor,assertion-roulette,0.0062876521352897554,0.0011440331398459434,0.012092213662971599,0.01101278808327346
Regression,Gradient Boosting Regressor,assertion-roulette,0.002435099562498249,0.0025504212659583072,0.012092213662971599,0.01101278808327346
Classification,Gradient Boosting,assertion-roulette,0.0009531036134721467,0.000847536774872561,0.012092213662971599,0.01101278808327346
Classification,Extra Trees,mystery-guest,0.017357379079677177,0.002750324247480926,0.009792611579129886,0.005235714467780415
Regression,Random Forest Regressor,mystery-guest,0.013342791481353712,0.0038255587855793656,0.009792611579129886,0.005235714467780415
Classification,Random Forest,mystery-guest,0.011402202816274605,0.0023895335938919834,0.009792611579129886,0.005235714467780415
Classification,Gradient Boosting,mystery-guest,0.006206842954138473,0.0024582930155043797,0.009792611579129886,0.005235714467780415
Regression,Extra Trees Regressor,mystery-guest,0.005237808634213051,0.0005547978537810806,0.009792611579129886,0.005235714467780415
Regression,Gradient Boosting Regressor,mystery-guest,0.005208644509122299,0.0019013478809437295,0.009792611579129886,0.005235714467780415
Regression,Gradient Boosting Regressor,resource-optimism,0.013477419138223012,0.0044220739570665244,0.009319848063119944,0.003391019991466843
Classification,Extra Trees,resource-optimism,0.010909465586615444,0.0015604457986449873,0.009319848063119944,0.003391019991466843
Classification,Gradient Boosting,resource-optimism,0.008753188971485065,0.0028001910480971903,0.009319848063119944,0.003391019991466843
Regression,Random Forest Regressor,resource-optimism,0.008387239182785973,0.0023075699960612107,0.009319848063119944,0.003391019991466843
Classification,Random Forest,resource-optimism,0.007741484486102859,0.0015654143827214177,0.009319848063119944,0.003391019991466843
Regression,Extra Trees Regressor,resource-optimism,0.006650291013507309,0.001391198001769081,0.009319848063119944,0.003391019991466843
Regression,Extra Trees Regressor,eager-test,0.01788144823487024,0.0029497101047038722,0.008760417535711643,0.005623825721318583
Classification,Extra Trees,eager-test,0.012898962322753367,0.0007130626815673409,0.008760417535711643,0.005623825721318583
Regression,Gradient Boosting Regressor,eager-test,0.0075615570763727475,0.0022896335911401777,0.008760417535711643,0.005623825721318583
Regression,Random Forest Regressor,eager-test,0.007039182086714159,0.0012185883174202123,0.008760417535711643,0.005623825721318583
Classification,Random Forest,eager-test,0.006280637867547824,0.0003828672965264559,0.008760417535711643,0.005623825721318583
