Project_ID,Project,Algorithm,Test_Samples,Flaky_Samples,MCC,Macro_F1,F1-Score,Precision,Recall,AUC-PR
E16,logback,Gradient Boosting,842,22,0.018226997831044145,0.5091044674937293,0.044444444444444446,0.043478260869565216,0.045454545454545456,0.04497789365908682
E16,logback,Logistic Regression,842,22,0.20383046666646976,0.5490729798750991,0.17687074829931973,0.104,0.5909090909090909,0.12741459006854378
E16,logback,Naive Bayes,842,22,0.1843051308832345,0.5600236277717193,0.17857142857142858,0.1111111111111111,0.45454545454545453,0.08194948335898213
E16,logback,KNN,842,22,0.07463822765794702,0.527864044168392,0.07142857142857142,0.16666666666666666,0.045454545454545456,0.04962159772136019
E17,spring-boot,Random Forest,2127,163,-0.02945156320188642,0.477267141803883,0.0,0.0,0.0,0.1174456989711692
E17,spring-boot,Extra Trees,2127,163,0.0,0.48007822048398924,0.0,0.0,0.0,0.09163985252392082
E17,spring-boot,Gradient Boosting,2127,163,0.23876429524869724,0.5974145790391628,0.2977941176470588,0.2125984251968504,0.49693251533742333,0.17536272782290405
E17,spring-boot,Logistic Regression,2127,163,0.007907583497128882,0.4854507490522816,0.11822660098522167,0.08071748878923767,0.22085889570552147,0.07953399464556432
E17,spring-boot,Naive Bayes,2127,163,-0.015990045547967655,0.4299492993984033,0.11825726141078838,0.07116104868913857,0.3496932515337423,0.0692670896000441
E17,spring-boot,KNN,2127,163,0.014305248964404169,0.4853142824220775,0.011764705882352941,0.14285714285714285,0.006134969325153374,0.07539148315888987
E18,okhttp,Random Forest,810,100,0.0,0.46710526315789475,0.0,0.0,0.0,0.1311932341028662
E18,okhttp,Extra Trees,810,100,0.0,0.46710526315789475,0.0,0.0,0.0,0.13512070764763415
E18,okhttp,Gradient Boosting,810,100,0.022942717373784335,0.49753664275937026,0.07633587786259542,0.16129032258064516,0.05,0.1777686451199359
E18,okhttp,Logistic Regression,810,100,-0.09279775739984729,0.4533675259819139,0.03225806451612903,0.03488372093023256,0.03,0.0973407169877143
E18,okhttp,Naive Bayes,810,100,0.10068096329219058,0.4867872845613788,0.038834951456310676,0.6666666666666666,0.02,0.11136982670830298
E18,okhttp,KNN,810,100,0.0,0.46710526315789475,0.0,0.0,0.0,0.12275308641975308
